startnode,endnode
30341004,268861657
268861657,268862196
268861657,30341005
30341005,268500467
30341005,268615854
268500467,269958002
268500467,268615855
268615854,856460893
268615854,268861551
30341007,268510356
30341007,269832531
268510356,269831728
268510356,268509736
269832531,30341009
30341009,269834077
30341009,269965177
269834077,269832530
269834077,269833704
269965177,269965352
269965177,269833647
30341010,269957262
30341010,30341011
269957262,269965352
269957262,269957015
269957262,30341010
30341011,269830435
30341011,30341012
269830435,269831981
269830435,269826155
30341012,3772750754
30341012,30341013
3772750754,30594812
3772750754,269956911
30341013,269830124
30341013,2434287917
269830124,269826675
269830124,269832327
2434287917,2180585469
30594728,269833246
30594728,269826154
269833246,3772750753
269833246,269833193
269833246,4789068294
269826154,269831116
269826154,269820951
30594812,30956904
30594812,7982089638
30956904,268639104
7982089638,7982089639
268639104,269956909
268487335,1446021091
268487335,848492634
1446021091,8231142769
1446021091,8082348370
848492634,268487336
848492634,268497077
268487336,2461446832
268487336,268500468
2461446832,8078739973
268500468,268497077
268500468,5838396932
268500468,268509735
268497077,268500468
268497077,8231142770
268497077,5838396931
8231142770,1446021091
8231142770,268497077
5838396931,5838396932
5838396931,268511173
269958002,269957952
269958002,269957298
268615855,268615854
268615855,2434311932
5838396932,268822693
5838396932,268511172
268509735,6148209279
268509735,268510357
268509735,268500468
268508486,1420660815
268508486,8237007494
1420660815,1420660823
1420660815,268508490
8237007494,268508486
268508490,268508491
268508491,269959010
269959010,269957302
6148209279,2461446832
6148209279,6148209275
268510357,268509735
268510357,8345342883
268510357,269830751
268509736,268511172
268509736,268822693
268511172,268500467
268511172,268511173
268822693,268509735
268509739,268509736
268509739,30341007
269831728,269832331
8345342883,269832466
8345342883,8345342882
269830751,8078739973
268511171,269830124
268511171,2434287917
268511173,30341005
268511173,268862196
268862196,268862648
268862196,268862197
856460893,268863153
268861551,268861572
268861551,2434311933
2434311932,269957300
2434311932,1420660834
268615856,268615858
268615856,30341007
268615858,269957805
268615858,268615863
269957805,268509739
268615863,269957299
268615863,269958260
268615862,3772750754
268615862,30341013
269957299,269957298
269957299,269957805
269957299,269957952
269958260,269958263
269958260,268615855
268620937,269987047
269987047,3772750969
268621340,268615862
268621340,7982089638
268622218,30956904
268622218,7982089639
7982089639,7982089635
268622485,269958183
268622485,268622486
269958183,269958111
269958183,269958102
268622486,268615856
268622486,269957115
269957115,269834075
269956909,269956910
269956909,269957017
268639105,268639106
268639105,268622486
268639106,269957301
268639106,268622485
269957301,269957300
269957301,1420660832
268861160,268861390
268861160,268508486
268861390,8078510899
268861219,268861478
268861219,268508486
268861478,268861479
268861478,268861390
8078510899,1420660823
268861479,268861478
268861572,268863171
268861572,268861551
2434311933,2434311932
2434311933,1420660829
268863171,856460890
268863171,4523950651
268862648,30341004
268862197,5838396931
268862197,268862648
268862971,856460893
268863153,268861572
856460890,268861160
856460890,2434311933
4523950651,4523950654
269820951,1385809390
269820951,269826674
1385809390,1385809418
269826674,269829869
269826674,269831118
269831116,4789068294
269831116,269831442
269826155,269833646
269826155,30341010
269833646,269834077
269833646,269833647
269833646,269833430
269829869,5832103143
269829869,6975523296
269831118,269831440
269831118,269831117
269826675,269830435
269826675,30341012
269827194,269827195
269827194,1385809412
269827195,3772750976
1385809412,1385809390
1385809412,269826674
3772750976,5832103143
3772750976,6975523296
5832103143,4751408729
6975523296,1385809412
269832327,6133345213
269831981,269832329
269831981,269831982
4789068294,3772750753
4789068294,3774495060
4789068294,269833246
269831442,269834112
269831442,1983085873
269831117,269820951
269831117,269831116
269831440,269834091
269831440,269831439
269831119,269831118
269831119,927324368
927324368,269829869
927324368,4751408729
269831192,269832168
269832168,269832327
269832168,268511171
269831439,269831119
269831439,269831192
269834091,269834092
269834091,269834088
269834112,269832330
1983085873,269831440
1983085873,269831117
269832331,268510357
269832329,269834095
269832329,269832330
269831982,269833430
269831982,269826155
269833430,269832795
269833430,269833646
6133345213,269834088
6133345213,269831439
269832328,269832329
269832328,269826675
269834095,269834116
269834095,269834112
269832330,269831982
269832466,269832946
269832466,269832528
269832946,269832794
269832528,269832529
269832528,269832331
269832529,269832530
269832529,269831728
269832530,269832531
269832530,268510356
269832794,3751088558
269832794,3774495060
3751088558,269832528
3751088558,269832795
3774495060,269831442
3774495060,4789068294
269832795,269833704
269833704,269832529
269833117,269832946
269833117,269830751
269833193,269833117
269833193,269833246
3772750753,269832794
3772750753,269833117
269833647,30341010
269834074,270209468
269834074,8251316604
270209468,270209474
270209468,269834075
8251316604,269957116
8251316604,8251316605
269834075,269834087
269834075,269957016
269834087,269957263
269834087,269957114
269957016,269956910
269957016,269957017
269957263,30341009
269957263,269957192
269957114,269957115
269957114,268615856
269834088,269832328
269834092,269834091
269834116,269834113
269834116,269834113
269834113,1983085873
269834113,269834116
269956910,269956911
269956910,30594812
269957017,269834074
269956911,30341011
269956911,269957015
269957015,269957262
269957015,269834087
269957015,269957016
269957116,268639105
269957192,269957205
269957205,10155769346
269957205,269957192
269957205,269965031
10155769346,269957205
269965031,269957114
269965352,269957263
269957298,268509739
269957952,269957874
269957952,269957299
269957300,6136068070
269957300,268622485
6136068070,269958111
6136068070,6136068084
1420660832,1420660823
1420660832,268508490
269957302,269957301
269957874,269957952
269958017,268615863
269958102,269958017
269958102,268615858
269958111,269958017
269958111,269958183
269958263,269958260
269965029,269965092
269965092,269957192
269965092,269965031
3772750969,268615862
3772750969,3772750964
269987048,268620937
269987048,3772750963
3772750963,268622218
270209474,270209468
4751408729,2267465353
1385809418,269826154
1385809418,1385809414
1385809414,30594728
1420660823,268861219
1420660829,8078510899
1420660829,270978609
1420660834,1420660832
8231142769,8231142770
8231142769,268862197
8082348370,8082348371
2180585469,3772750970
3772750970,3772750969
2267465353,2434287912
2434287912,269831119
2434287912,269831192
2434287908,269827195
2549963671,269833193
2549963671,30594728
3772750964,268620937
3772750964,3772750963
4523950650,268863153
4523950650,4523950651
4523950654,856460890
6136068084,6136068070
6148209275,6148209279
7982089635,268621340
7982089635,3772750964
8082348371,8082348370
8082348371,8231142769
8251316605,8251316604
8345342882,8345342883
